company_id,year,return_on_equity_pct
ADANIPOWER,2024,48.28
NESTLEIND,2013,47.17
TCS,2023,46.78
BRITANNIA,2013,46.59
COALINDIA,2024,45.17
NESTLEIND,2018,43.75
LICI,2021,43.2
TCS,2022,43.13
HAVELLS,2016,42.95
SIEMENS,2016,42.83
LODHA,2019,42.8
LTIM,2013,41.97
NESTLEIND,2014,41.77
COALINDIA,2016,40.96
IRCTC,2023,40.6
MOTHERSON,2016,40.35
HAVELLS,2013,40.29
COALINDIA,2022,40.28
PNB,2022,39.87
PNB,2022,39.87
PNB,2022,39.87
PNB,2022,39.87
PNB,2022,39.87
TCS,2015,39.62
BRITANNIA,2016,39.44
LTIM,2016,39.34
TCS,2014,39.3
IRCTC,2020,39.04
MOTHERSON,2015,38.87
BAJAJ-AUTO,2013,38.85
BAJAJ-AUTO,2013,38.85
TCS,2020,38.57
ICICIPRULI,2013,38.25
LTIM,2015,37.96
COALINDIA,2017,37.85
TCS,2021,37.66999999999999
HDFCLIFE,2014,37.6
TATAMOTORS,2024,37.46
HEROMOTOCO,2014,37.38
TITAN,2024,37.22
MOTHERSON,2014,37.07
TITAN,2013,36.8
EICHERMOT,2016,36.63
DABUR,2013,36.56
TCS,2013,36.52
TATASTEEL,2022,36.48
LICI,2022,36.38
TRENT,2024,36.31
HEROMOTOCO,2015,36.15
ADANIPOWER,2023,35.91
NESTLEIND,2017,35.82
COALINDIA,2013,35.81
COALINDIA,2014,35.64
ICICIPRULI,2014,35.61
BPCL,2024,35.51000000000001
IRCTC,2022,35.29
TCS,2019,35.29
HEROMOTOCO,2016,35.23
TORNTPHARM,2014,34.89
COALINDIA,2018,34.88
IRCTC,2016,34.87
COALINDIA,2021,34.78
DABUR,2014,34.48999999999999
IRCTC,2024,34.4
HEROMOTOCO,2017,34.37
ASIANPAINT,2013,34.28
ASIANPAINT,2013,34.28
TCS,2016,34.23999999999999
COALINDIA,2015,34.02
HDFCLIFE,2013,33.43
HCLTECH,2014,33.39
TECHM,2014,33.35
TECHM,2014,33.35
ITC,2013,33.27
BAJAJ-AUTO,2014,33.23999999999999
BAJAJ-AUTO,2014,33.23999999999999
ITC,2014,33.05
BRITANNIA,2017,32.83
ABB,2024,32.47
ABB,2024,32.47
BPCL,2021,32.34
GODREJCP,2019,32.23
INFY,2023,31.97
DABUR,2015,31.84
BRITANNIA,2020,31.66
ASIANPAINT,2014,31.27
ASIANPAINT,2014,31.27
EICHERMOT,2017,31.19
ICICIPRULI,2015,31.15
JSWSTEEL,2022,31.11
HEROMOTOCO,2018,31.09
ICICIPRULI,2016,31.0
LTIM,2019,30.98
HDFCLIFE,2015,30.93
LTIM,2017,30.88
BPCL,2017,30.85
ITC,2015,30.81
HCLTECH,2013,30.69
PNB,2023,30.67
PNB,2023,30.67
PNB,2023,30.67
PNB,2023,30.67
PNB,2023,30.67
TORNTPHARM,2013,30.59
PIDILITIND,2016,30.59
TCS,2017,30.57
NESTLEIND,2016,30.5
TCS,2018,30.4
PNB,2021,30.39
PNB,2021,30.39
PNB,2021,30.39
PNB,2021,30.39
PNB,2021,30.39
HCLTECH,2015,30.31
TORNTPHARM,2015,30.15
ASIANPAINT,2015,30.09
ASIANPAINT,2015,30.09
DABUR,2016,30.06
INFY,2024,29.79
ABB,2023,29.77
ABB,2023,29.77
ASIANPAINT,2024,29.68
ASIANPAINT,2024,29.68
IRCTC,2015,29.5
BRITANNIA,2018,29.48
INFY,2022,29.39
TATASTEEL,2018,29.15
TITAN,2014,29.13
IRCTC,2017,29.1
BPCL,2016,29.1
BAJAJ-AUTO,2016,28.97
BAJAJ-AUTO,2016,28.97
IRCTC,2019,28.85
LTIM,2018,28.81
BAJAJFINSV,2013,28.38
ABB,2022,28.33
ABB,2022,28.33
ITC,2023,28.16
LTIM,2020,28.13
EICHERMOT,2014,27.9
EICHERMOT,2018,27.88
ITC,2024,27.85
LTIM,2022,27.65
ASIANPAINT,2016,27.63
ASIANPAINT,2016,27.63
TITAN,2023,27.63
ASIANPAINT,2020,27.38
ASIANPAINT,2020,27.38
BAJAJ-AUTO,2015,27.27
BAJAJ-AUTO,2015,27.27
BRITANNIA,2019,27.16
EICHERMOT,2012,27.07
PIDILITIND,2018,27.03
PFC,2019,26.82
HAVELLS,2014,26.77
BPCL,2018,26.74
BAJAJ-AUTO,2024,26.61
ADANIPOWER,2022,26.61
BAJAJ-AUTO,2024,26.61
