company_id,year,sales,operating_profit,opm_percentage
ONGC,2013.0,161984.0,43501.0,27.0
TATASTEEL,2022.0,243959.0,63490.0,26.0
ULTRACEMCO,2021.0,44726.0,11568.0,26.0
ATGL,2019.0,1719.0,455.0,26.0
TCS,2015.0,94648.0,24482.0,26.0
ADANIPOWER,2017.0,22616.0,5980.0,26.0
DRREDDY,2023.0,24670.0,6470.0,26.0
NAUKRI,2013.0,472.0,121.0,26.0
TCS,2018.0,123104.0,32516.0,26.0
DLF,2019.0,8366.0,2148.0,26.0
TORNTPHARM,2019.0,7673.0,1983.0,26.0
ONGC,2015.0,160923.0,42312.0,26.0
INFY,2022.0,121641.0,31491.0,26.0
NTPC,2018.0,88083.0,22485.0,26.0
LODHA,2016.0,8249.0,2126.0,26.0
LODHA,2024.0,10316.0,2665.0,26.0
SHREECEM,2016.0,5514.0,1407.0,26.0
NTPC,2017.0,82042.0,21598.0,26.0
ADANIPOWER,2023.0,38773.0,10096.0,26.0
EICHERMOT,2024.0,16536.0,4329.0,26.0
TCS,2023.0,225458.0,59259.0,26.0
SUNPHARMA,2021.0,33498.0,8470.0,25.0
ATGL,2022.0,3038.0,773.0,25.0
AMBUJACEM,2012.0,9749.0,2473.0,25.0
ATGL,2024.0,4475.0,1104.0,25.0
JSWSTEEL,2021.0,79839.0,20178.0,25.0
VEDL,2019.0,92048.0,23171.0,25.0
ADANIPOWER,2015.0,18683.0,4678.0,25.0
VEDL,2020.0,84447.0,20743.0,25.0
VEDL,2024.0,143727.0,35312.0,25.0
HCLTECH,2014.0,32144.0,8035.0,25.0
LODHA,2021.0,5449.0,1383.0,25.0
SHREECEM,2022.0,15010.0,3710.0,25.0
NTPC,2016.0,73396.0,18568.0,25.0
INFY,2020.0,90791.0,22267.0,25.0
HAL,2023.0,26928.0,6669.0,25.0
ZYDUSLIFE,2016.0,9427.0,2332.0,25.0
ABB,2024.0,5849.0,1453.0,25.0
LODHA,2012.0,2954.0,724.0,25.0
SHREECEM,2018.0,9833.0,2473.0,25.0
NTPC,2013.0,71518.0,18149.0,25.0
NTPC,2014.0,78330.0,19727.0,25.0
BEL,2024.0,20268.0,5051.0,25.0
