company_id,year,eps
JINDALSTEL,2024.0,58.0
LTIM,2017.0,57.0
APOLLOHOSP,2023.0,57.0
GRASIM,2013.0,57.0
LICI,2022.0,57.0
TECHM,2022.0,57.0
ASIANPAINT,2024.0,57.0
JINDALSTEL,2022.0,56.0
SIEMENS,2023.0,55.0
HCLTECH,2023.0,55.0
INDUSINDBK,2019.0,55.0
INDIGO,2016.0,55.0
ADANIPOWER,2024.0,54.0
DRREDDY,2023.0,54.0
RECLTD,2024.0,54.0
INFY,2022.0,53.0
M&M,2022.0,53.0
LT,2018.0,53.0
DIVISLAB,2020.0,52.0
COALINDIA,2023.0,52.0
TCS,2015.0,51.0
GRASIM,2016.0,51.0
TORNTPHARM,2016.0,51.0
BAJAJFINSV,2024.0,51.0
DIVISLAB,2019.0,51.0
RELIANCE,2024.0,51.0
CIPLA,2024.0,51.0
VEDL,2022.0,51.0
KOTAKBANK,2021.0,50.0
HDFCBANK,2020.0,50.0
HCLTECH,2022.0,50.0
TECHM,2023.0,50.0
NAUKRI,2019.0,49.0
TCS,2014.0,49.0
LTIM,2016.0,49.0
RELIANCE,2023.0,49.0
ICICIBANK,2023.0,49.0
TORNTPHARM,2024.0,49.0
EICHERMOT,2016.0,49.0
EICHERMOT,2021.0,49.0
TATAMOTORS,2015.0,48.0
BRITANNIA,2019.0,48.0
INDUSINDBK,2017.0,48.0
TATAMOTORS,2014.0,48.0
PFC,2023.0,48.0
HAL,2021.0,48.0
TECHM,2021.0,46.0
INDIGO,2017.0,46.0
HINDALCO,2023.0,45.0
HINDALCO,2024.0,45.0
RELIANCE,2022.0,45.0
INFY,2021.0,45.0
KOTAKBANK,2020.0,45.0
GRASIM,2014.0,44.0
TECHM,2019.0,44.0
NAUKRI,2024.0,44.0
ZYDUSLIFE,2022.0,44.0
HINDUNILVR,2024.0,44.0
BAJFINANCE,2018.0,43.0
LT,2017.0,43.0
ASIANPAINT,2023.0,43.0
SIEMENS,2022.0,43.0
HINDUNILVR,2023.0,43.0
M&M,2019.0,43.0
HAL,2020.0,42.0
PFC,2022.0,42.0
RECLTD,2023.0,42.0
NAUKRI,2018.0,42.0
AXISBANK,2022.0,42.0
DIVISLAB,2016.0,42.0
TRENT,2024.0,42.0
BRITANNIA,2018.0,42.0
TECHM,2020.0,42.0
HDFCBANK,2019.0,41.0
CHOLAFIN,2024.0,41.0
NESTLEIND,2024.0,41.0
HCLTECH,2020.0,41.0
HCLTECH,2021.0,41.0
TATAMOTORS,2016.0,40.0
BAJAJFINSV,2023.0,40.0
SBIN,2022.0,40.0
SUNPHARMA,2024.0,40.0
DIVISLAB,2017.0,40.0
DMART,2024.0,39.0
RELIANCE,2021.0,39.0
GRASIM,2018.0,39.0
TITAN,2024.0,39.0
TECHM,2018.0,39.0
INFY,2020.0,39.0
ONGC,2024.0,39.0
SHRIRAMFIN,2024.0,39.0
ICICIGI,2024.0,39.0
RECLTD,2022.0,38.0
ADANIPORTS,2024.0,38.0
M&M,2014.0,38.0
LT,2013.0,38.0
INDUSINDBK,2016.0,38.0
ZYDUSLIFE,2024.0,38.0
HINDUNILVR,2022.0,38.0
ADANIPORTS,2024.0,38.0
KOTAKBANK,2019.0,38.0
TORNTPHARM,2021.0,37.0
TORNTPHARM,2023.0,37.0
BRITANNIA,2017.0,37.0
BPCL,2021.0,37.0
HCLTECH,2019.0,37.0
INDUSINDBK,2021.0,37.0
